,date,open,high,low,close,volume,symbol
444,2020-12-22 00:00:00,22719.88,23837.1,22353.4,23810.79,87033.12616,ETH
443,2020-12-23 00:00:00,23810.79,24100.0,22600.0,23232.76,119047.259733,ETH
442,2020-12-24 00:00:00,23232.39,23794.43,22703.42,23729.2,69013.834252,ETH
441,2020-12-25 00:00:00,23728.99,24789.86,23433.6,24712.47,79519.94356900001,ETH
440,2020-12-26 00:00:00,24712.47,26867.03,24500.0,26493.39,97806.513386,ETH
439,2020-12-27 00:00:00,26493.4,28422.0,25700.0,26281.66,148455.586214,ETH
438,2020-12-28 00:00:00,26281.54,27500.0,26101.0,27079.41,79721.742496,ETH
437,2020-12-29 00:00:00,27079.42,27410.0,25880.0,27385.0,69411.59260599999,ETH
436,2020-12-30 00:00:00,27385.0,28996.0,27320.0,28875.54,95356.057826,ETH
435,2020-12-31 00:00:00,28875.55,29300.0,27850.0,28923.63,75508.505152,ETH
434,2021-01-01 00:00:00,28923.63,29600.0,28624.57,29331.69,54182.925011,ETH
433,2021-01-02 00:00:00,29331.7,33300.0,28946.53,32178.33,129993.87336199998,ETH
432,2021-01-03 00:00:00,32176.45,34778.11,31962.99,33000.05,120957.56675,ETH
431,2021-01-04 00:00:00,33000.05,33600.0,28130.0,31988.71,140899.88569,ETH
430,2021-01-05 00:00:00,31989.75,34360.0,29900.0,33949.53,116049.99703800002,ETH
429,2021-01-06 00:00:00,33949.53,36939.21,33288.0,36769.36,127139.20130999999,ETH
428,2021-01-07 00:00:00,36769.36,40365.0,36300.0,39432.28,132825.700437,ETH
427,2021-01-08 00:00:00,39432.48,41950.0,36500.0,40582.81,139789.957499,ETH
426,2021-01-09 00:00:00,40586.96,41380.0,38720.0,40088.22,75785.979675,ETH
425,2021-01-10 00:00:00,40088.22,41350.0,35111.11,38150.02,118209.544503,ETH
424,2021-01-11 00:00:00,38150.02,38264.74,30420.0,35404.47,249131.53994299998,ETH
